Episode,Total Reward,Epsilon
1,-246,0.995
2,-343,0.990025
3,-487,0.985074875
4,-317,0.9801495006250001
5,-430,0.9752487531218751
6,-195,0.9703725093562657
7,-358,0.9655206468094844
8,-594,0.960693043575437
9,-284,0.9558895783575597
10,-159,0.9511101304657719
11,-361,0.946354579813443
12,-242,0.9416228069143757
13,-340,0.9369146928798039
14,-426,0.9322301194154049
15,-352,0.9275689688183278
16,-275,0.9229311239742362
17,-440,0.918316468354365
18,-132,0.9137248860125932
19,-227,0.9091562615825302
20,-177,0.9046104802746175
21,-304,0.9000874278732445
22,-212,0.8955869907338783
23,-355,0.8911090557802088
24,-323,0.8866535105013078
25,-255,0.8822202429488013
26,-311,0.8778091417340573
27,-234,0.8734200960253871
28,-344,0.8690529955452602
29,-268,0.8647077305675338
30,-160,0.8603841919146962
31,-347,0.8560822709551227
32,-194,0.851801859600347
33,-151,0.8475428503023453
34,-494,0.8433051360508336
35,-248,0.8390886103705794
36,-292,0.8348931673187264
37,-302,0.8307187014821328
38,-218,0.8265651079747222
39,-122,0.8224322824348486
40,-154,0.8183201210226743
41,-125,0.8142285204175609
42,-172,0.810157377815473
43,-166,0.8061065909263957
44,-168,0.8020760579717637
45,-286,0.798065677681905
46,-154,0.7940753492934954
47,9,0.7901049725470279
48,-108,0.7861544476842928
49,-212,0.7822236754458713
50,22,0.778312557068642
51,-132,0.7744209942832988
52,-124,0.7705488893118823
53,-220,0.7666961448653229
54,-41,0.7628626641409962
55,-129,0.7590483508202912
56,-176,0.7552531090661897
57,-138,0.7514768435208588
58,-173,0.7477194593032545
59,-53,0.7439808620067382
60,-90,0.7402609576967045
61,-71,0.736559652908221
62,-32,0.7328768546436799
63,-20,0.7292124703704616
64,-89,0.7255664080186093
65,-96,0.7219385759785162
66,-81,0.7183288830986236
67,-138,0.7147372386831305
68,-35,0.7111635524897149
69,31,0.7076077347272662
70,-170,0.7040696960536299
71,-12,0.7005493475733617
72,-288,0.697046600835495
73,-487,0.6935613678313175
74,78,0.6900935609921609
75,112,0.6866430931872001
76,370,0.6832098777212641
77,-121,0.6797938283326578
78,60,0.6763948591909945
79,-4,0.6730128848950395
80,118,0.6696478204705644
81,31,0.6662995813682115
82,309,0.6629680834613705
83,-120,0.6596532430440636
84,-230,0.6563549768288433
85,-59,0.653073201944699
86,-47,0.6498078359349755
87,-118,0.6465587967553006
88,-87,0.6433260027715241
89,201,0.6401093727576664
90,-443,0.6369088258938781
91,546,0.6337242817644086
92,-77,0.6305556603555866
93,-149,0.6274028820538087
94,8,0.6242658676435396
95,135,0.6211445383053219
96,15,0.6180388156137953
97,417,0.6149486215357263
98,530,0.6118738784280476
99,127,0.6088145090359074
100,146,0.6057704364907278
101,14,0.6027415843082742
102,-12,0.5997278763867329
103,227,0.5967292370047992
104,-155,0.5937455908197752
105,-39,0.5907768628656763
106,154,0.5878229785513479
107,165,0.5848838636585911
108,-26,0.5819594443402982
109,-74,0.5790496471185967
110,513,0.5761543988830038
111,418,0.5732736268885887
112,145,0.5704072587541458
113,135,0.567555222460375
114,203,0.5647174463480732
115,211,0.5618938591163328
116,808,0.5590843898207511
117,347,0.5562889678716474
118,106,0.5535075230322891
119,-61,0.5507399854171277
120,410,0.547986285490042
121,-234,0.5452463540625918
122,2,0.5425201222922789
123,417,0.5398075216808175
124,690,0.5371084840724134
125,-131,0.5344229416520513
126,414,0.531750826943791
127,988,0.5290920728090721
128,350,0.5264466124450268
129,354,0.5238143793828016
130,811,0.5211953074858876
131,309,0.5185893309484582
132,167,0.5159963842937159
133,162,0.5134164023722473
134,60,0.510849320360386
135,-35,0.5082950737585841
136,441,0.5057535983897912
137,430,0.5032248303978422
138,1396,0.500708706245853
139,195,0.4982051627146237
140,847,0.49571413690105054
141,839,0.4932355662165453
142,-13,0.4907693883854626
143,365,0.4883155414435353
144,759,0.4858739637363176
145,219,0.483444593917636
146,-126,0.4810273709480478
147,854,0.47862223409330756
148,161,0.47622912292284103
149,81,0.4738479773082268
150,3394,0.47147873742168567
151,511,0.46912134373457726
152,-23,0.46677573701590436
153,610,0.46444185833082485
154,750,0.46211964903917074
155,664,0.4598090507939749
156,540,0.457510005540005
157,331,0.45522245551230495
158,132,0.4529463432347434
159,254,0.4506816115185697
160,1871,0.4484282034609769
161,648,0.446186062443672
162,678,0.4439551321314536
163,461,0.4417353564707963
164,208,0.43952667968844233
165,261,0.43732904629000013
166,1481,0.4351424010585501
167,-106,0.43296668905325736
168,502,0.43080185560799106
169,406,0.4286478463299511
170,1893,0.42650460709830135
171,254,0.42437208406280985
172,202,0.4222502236424958
173,1189,0.42013897252428334
174,1475,0.4180382776616619
175,467,0.4159480862733536
176,499,0.41386834584198684
177,199,0.4117990041127769
178,551,0.40974000909221303
179,413,0.40769130904675194
180,440,0.40565285250151817
181,-6,0.4036245882390106
182,176,0.4016064652978155
183,239,0.3995984329713264
184,152,0.3976004408064698
185,463,0.39561243860243744
186,1132,0.3936343764094253
187,1432,0.39166620452737816
188,11,0.3897078735047413
189,245,0.3877593341372176
190,387,0.3858205374665315
191,166,0.38389143477919885
192,346,0.3819719776053028
193,365,0.3800621177172763
194,-47,0.37816180712868996
195,413,0.37627099809304654
196,1388,0.3743896431025813
197,657,0.37251769488706843
198,390,0.3706551064126331
199,195,0.36880183088056995
200,64,0.3669578217261671
201,96,0.36512303261753626
202,421,0.3632974174544486
203,558,0.3614809303671764
204,328,0.3596735257153405
205,435,0.3578751580867638
206,57,0.35608578229633
207,199,0.3543053533848483
208,348,0.35253382661792404
209,218,0.3507711574848344
210,1180,0.34901730169741024
211,700,0.3472722151889232
212,603,0.3455358541129786
213,466,0.3438081748424137
214,918,0.3420891339682016
215,574,0.3403786882983606
216,53,0.3386767948568688
217,238,0.33698341088258443
218,305,0.3352984938281715
219,1113,0.33362200135903064
220,827,0.33195389135223546
221,204,0.3302941218954743
222,-12,0.32864265128599696
223,313,0.326999438029567
224,517,0.3253644408394192
225,728,0.3237376186352221
226,431,0.322118930542046
227,1428,0.32050833588933575
228,356,0.31890579420988907
229,1492,0.3173112652388396
230,885,0.3157247089126454
231,1013,0.3141460853680822
232,1571,0.3125753549412418
233,755,0.31101247816653554
234,796,0.30945741577570285
235,387,0.3079101286968243
236,772,0.3063705780533402
237,102,0.30483872516307353
238,28,0.3033145315372582
239,135,0.3017979588795719
240,1449,0.30028896908517405
241,797,0.2987875242397482
242,249,0.29729358661854943
243,236,0.29580711868545667
244,1387,0.2943280830920294
245,172,0.29285644267656924
246,1167,0.2913921604631864
247,609,0.28993519966087045
